id,title,overview,genres,keywords,director,cast,release_year,rating,runtime,budget,revenue
490,The Storm Story,A journey through ancient where supernatural leads to relationships and beyond.,History Drama Fantasy,biography ancient wizards relationships tragedy,Coen Brothers,Natalie Portman Scarlett Johansson Leonardo DiCaprio Christian Bale,1992,4.9,147,164650181.0,1648241592.0
491,Lost in Shadow,A journey through exploration where treasure leads to treasure and beyond.,Adventure,exploration treasure,Chloé Zhao,Michael Fassbender Amy Adams Jennifer Lawrence,2001,5.7,172,42710190.0,1327851232.0
492,The Silver Story,"When coming of age meets revolution, they must overcome revolution to save the day.",Drama History,historical revolution coming of age character study,David Fincher,Margot Robbie Michael Fassbender Oscar Isaac Lupita Nyong'o Emma Stone,2017,8.1,120,29388358.0,1059300683.0
493,The Storm Story,A thrilling story about saloon and saloon in a world of saloon.,Western Horror,scary sheriff saloon supernatural,Christopher Nolan,Scarlett Johansson Leonardo DiCaprio Matt Damon,2012,5.9,177,,1283796473.0
494,The Wild Show,The story follows a hero dealing with ancient while facing period piece and funny.,Comedy Science Fiction History,space ancient funny satire period piece,Wes Anderson,Leonardo DiCaprio Oscar Isaac Lupita Nyong'o Ryan Gosling,1993,6.7,162,171263712.0,954975636.0
495,The Silent Story,A journey through historical where biography leads to historical and beyond.,History,historical biography,Martin Scorsese,Will Smith Scarlett Johansson Oscar Isaac Ryan Gosling Jennifer Lawrence Cate Blanchett,2019,7.3,115,,1813691171.0
496,The Dark Story,An epic tale of edge featuring edge and unexpected danger.,Family Thriller War,military edge values victory adventure,Coen Brothers,Tom Hanks Robert Downey Jr. Scarlett Johansson Leonardo DiCaprio Jennifer Lawrence Emma Stone,2003,6.8,175,,79484408.0
497,The Dark Curse,An epic tale of scary featuring explosion and unexpected explosion.,Horror Action,scary rescue explosion supernatural,Jordan Peele,Cate Blanchett Christian Bale Amy Adams Lupita Nyong'o Tom Hanks,1994,5.0,136,168991884.0,
498,The Silent Story,"When saloon meets quest, they must overcome sheriff to save the day.",Western Animation Adventure,sheriff family quest exotic talking animals,David Fincher,Meryl Streep Tom Hanks Angelina Jolie Jennifer Lawrence Michael Fassbender Matt Damon,2020,5.4,167,16230890.0,295718347.0
499,The Silver Story,"When corruption meets criminal, they must overcome corruption to save the day.",Music Crime,criminal rock corruption classical,Chloé Zhao,Christian Bale Brad Pitt Meryl Streep Cate Blanchett Matt Damon Margot Robbie,2003,8.8,82,33715763.0,420095291.0
500,The Storm Story,A thrilling story about villain and dating in a world of detective.,Mystery Romance Action,detective dating wedding villain fight,Coen Brothers,Natalie Portman Robert Downey Jr. Angelina Jolie Oscar Isaac Jennifer Lawrence Margot Robbie,2001,4.4,148,160306321.0,381183260.0
